Date;day;month;year;ISO;Country;Status
24/2/2020;24;2;2020;SJM;Svalbard;Fully open
24/2/2020;24;2;2020;SLB;Solomon Islands;Fully open
24/2/2020;24;2;2020;SLE;Sierra Leone;Fully open
24/2/2020;24;2;2020;SLV;El Salvador;Fully open
24/2/2020;24;2;2020;SMR;San Marino;Closed due to COVID-19
24/2/2020;24;2;2020;SOM;Somalia;Fully open
24/2/2020;24;2;2020;SRB;Serbia;Fully open
24/2/2020;24;2;2020;SSD;South Sudan;Fully open
24/2/2020;24;2;2020;STP;São Tomé and Príncipe;Fully open
24/2/2020;24;2;2020;SUR;Suriname;Fully open
24/2/2020;24;2;2020;SVK;Slovakia;Fully open
24/2/2020;24;2;2020;SVN;Slovenia;Fully open
24/2/2020;24;2;2020;SWE;Sweden;Fully open
24/2/2020;24;2;2020;SWZ;Eswatini;Fully open
24/2/2020;24;2;2020;SXM;Sint Marteen;Fully open
24/2/2020;24;2;2020;SYC;Seychelles;Fully open
24/2/2020;24;2;2020;SYR;Syrian Arab Republic;Fully open
24/2/2020;24;2;2020;TCA;Turks and Caicos Island;Fully open
24/2/2020;24;2;2020;TCD;Chad;Fully open
24/2/2020;24;2;2020;TGO;Togo;Fully open
24/2/2020;24;2;2020;THA;Thailand;Fully open
24/2/2020;24;2;2020;TJK;Tajikistan;Fully open
24/2/2020;24;2;2020;TKL;Tokelau;Fully open
24/2/2020;24;2;2020;TKM;Turkmenistan;Fully open
24/2/2020;24;2;2020;TLS;Timor-Leste;Fully open
24/2/2020;24;2;2020;TON;Tonga;Fully open
24/2/2020;24;2;2020;TTO;Trinidad and Tobago;Fully open
24/2/2020;24;2;2020;TUN;Tunisia;Fully open
24/2/2020;24;2;2020;TUR;Turkey;Fully open
24/2/2020;24;2;2020;TUV;Tuvalu;Fully open
24/2/2020;24;2;2020;TZA;United Republic of Tanzania;Fully open
24/2/2020;24;2;2020;UGA;Uganda;Fully open
24/2/2020;24;2;2020;UKR;Ukraine;Fully open
24/2/2020;24;2;2020;URY;Uruguay;Fully open
24/2/2020;24;2;2020;USA;United States of America;Fully open
24/2/2020;24;2;2020;UZB;Uzbekistan;Fully open
24/2/2020;24;2;2020;VCT;Saint Vincent and the Grenadines;Fully open
24/2/2020;24;2;2020;VEN;Venezuela;Fully open
24/2/2020;24;2;2020;VGB;British Virgin Islands;Fully open
24/2/2020;24;2;2020;VNM;Viet Nam;Fully open
24/2/2020;24;2;2020;VUT;Vanuatu;Fully open
24/2/2020;24;2;2020;WSM;Samoa;Fully open
24/2/2020;24;2;2020;YEM;Yemen;Fully open
24/2/2020;24;2;2020;ZAF;South Africa;Fully open
24/2/2020;24;2;2020;ZMB;Zambia;Fully open
24/2/2020;24;2;2020;ZWE;Zimbabwe;Fully open
2/3/2020;2;3;2020;ABW;Aruba;Fully open
2/3/2020;2;3;2020;AFG;Afghanistan;Fully open
2/3/2020;2;3;2020;AGO;Angola;Fully open
2/3/2020;2;3;2020;AIA;Anguilla;Fully open
2/3/2020;2;3;2020;ALB;Albania;Fully open
2/3/2020;2;3;2020;AND;Andorra;Fully open
2/3/2020;2;3;2020;ARE;United Arab Emirates;Fully open
2/3/2020;2;3;2020;ARG;Argentina;Fully open
2/3/2020;2;3;2020;ARM;Armenia;Academic break
2/3/2020;2;3;2020;ATG;Antigua and Barbuda;Fully open
2/3/2020;2;3;2020;AUS;Australia;Fully open
2/3/2020;2;3;2020;AUT;Austria;Fully open
2/3/2020;2;3;2020;AZE;Azerbaijan;Fully open
2/3/2020;2;3;2020;BDI;Burundi;Fully open
2/3/2020;2;3;2020;BEL;Belgium;Fully open
2/3/2020;2;3;2020;BEN;Benin;Fully open
2/3/2020;2;3;2020;BFA;Burkina Faso;Fully open
2/3/2020;2;3;2020;BGD;Bangladesh;Fully open
2/3/2020;2;3;2020;BGR;Bulgaria;Fully open
2/3/2020;2;3;2020;BHR;Bahrain;Closed due to COVID-19
2/3/2020;2;3;2020;BHS;Bahamas;Fully open
2/3/2020;2;3;2020;BIH;Bosnia and Herzegovina;Fully open
2/3/2020;2;3;2020;BLR;Belarus;Fully open
2/3/2020;2;3;2020;BLZ;Belize;Fully open
2/3/2020;2;3;2020;BMU;Bermuda;Fully open
2/3/2020;2;3;2020;BOL;Bolivia (Plurinational State of);Fully open
2/3/2020;2;3;2020;BRA;Brazil;Fully open
2/3/2020;2;3;2020;BRB;Barbados;Fully open
2/3/2020;2;3;2020;BRN;Brunei Darussalam;Fully open
2/3/2020;2;3;2020;BTN;Bhutan;Fully open
2/3/2020;2;3;2020;BWA;Botswana;Fully open
2/3/2020;2;3;2020;CAF;Central African republic;Fully open
2/3/2020;2;3;2020;CAN;Canada;Fully open
2/3/2020;2;3;2020;CHE;Switzerland;Fully open
2/3/2020;2;3;2020;CHL;Chile;Fully open
2/3/2020;2;3;2020;CHN;China;Closed due to COVID-19
2/3/2020;2;3;2020;CIV;Cote d'Ivoire;Fully open
2/3/2020;2;3;2020;CMR;Cameroon;Fully open
2/3/2020;2;3;2020;COD;Democratic Republic of the Congo;Fully open
2/3/2020;2;3;2020;COG;Congo;Fully open
2/3/2020;2;3;2020;COK;Cook Islands;Fully open
2/3/2020;2;3;2020;COL;Colombia;Fully open
2/3/2020;2;3;2020;COM;Comoros;Fully open
2/3/2020;2;3;2020;CPV;Cabo Verde;Fully open
2/3/2020;2;3;2020;CRI;Costa Rica;Fully open
2/3/2020;2;3;2020;CUB;Cuba;Fully open
2/3/2020;2;3;2020;CUW;Curaçao;Fully open
2/3/2020;2;3;2020;CYM;Cayman Islands;Fully open
2/3/2020;2;3;2020;CYP;Cyprus;Fully open
2/3/2020;2;3;2020;CZE;Czechia;Fully open
2/3/2020;2;3;2020;DEU;Germany;Fully open
2/3/2020;2;3;2020;DJI;Djibouti;Fully open
2/3/2020;2;3;2020;DMA;Dominica;Fully open
2/3/2020;2;3;2020;DNK;Denmark;Fully open
